Company,Contact Name,Phone,Email,Address,City,State,ZIP,Website,Google Maps,CRM Link,CRM Row,Service Status,Last Service,Source,Notes
"Antioch — OBD serviced (add customer name from CRM/invoice)","Customer Tbd","","","","Antioch","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A2","2","serviced_likely","","local:calendar-lines.txt+local:messy-contacts.csv","Raw label: OBD ANTIOCH · Test: OBD · Area: Antioch | OBD completed at Antioch — calendar wrongly said OVI 250; OVI was maybe only never done · Raw label: OBD ANTIOCH - customer TBD · Test: OBD · Area: Antioch"
"Antioch — OVI calendar hold (not serviced)","","","","","Antioch","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A3","3","ovi_prospect","","local:messy-contacts.csv","BAD calendar placeholder — ignore for serviced list (OBD only) · Raw label: OVI 250 antioch · Test: OVI · Price: $250 · Area: Antioch · Calendar/AI placeholder — OVI was a possible upsell, not a completed test. Verify OBD/invoice/Stripe; do not count as serviced customer."
"Fairfield — OBD serviced (add customer name from CRM/invoice)","Carlos Mendez","(707) 555-8899","","","Fairfield","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A4","4","serviced_likely","","local:messy-contacts.csv","Raw label: HD-OBD FAIRFIELD - Carlos Mendez · Test: HD-OBD · Area: Fairfield"
"Hayward — SMOKE $219 (needs name)","","","","","Hayward","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A5","5","calendar_only","","local:calendar-lines.txt","Raw label: Smoke OVI 219 Hayward · Test: SMOKE · Price: $219 · Area: Hayward"
"Jeanne","B&m Builders","(510) 555-4412","","","","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A6","6","serviced","","local:calendar-lines.txt",""
"Mike Sousa Jmb Construction","","(916) 555-3301","","","","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A7","7","serviced_likely","","local:messy-contacts.csv","Known fleet"
"OVI calendar hold (not serviced)","","","","","","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A8","8","ovi_prospect","","local:calendar-lines.txt","Raw label: OVI 250 ANITOCH · Test: OVI · Price: $250 · Calendar/AI placeholder — OVI was a possible upsell, not a completed test. Verify OBD/invoice/Stripe; do not count as serviced customer."
"Pacific Fleet Llc (","","(415) 555-9988","","","","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A9","9","unknown","","local:calendar-lines.txt",""
"San Diego — OBD serviced (add customer name from CRM/invoice)","","","","","San Diego","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A10","10","serviced_likely","","local:messy-contacts.csv","Paid stripe — name missing · Raw label: OBD 119 SAN DIEGO · Test: OBD · Price: $119 · Area: San Diego"
"Stockton — OBD serviced (add customer name from CRM/invoice)","","","","","Stockton","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A11","11","serviced_likely","","local:calendar-lines.txt","Raw label: OBD 75 STOCKTON · Test: OBD · Price: $75 · Area: Stockton"
"Tracy — FLEET $169 (needs name)","","(209) 555-2200","","","Tracy","CA","","","","https://docs.google.com/spreadsheets/d/1TdNnf7eLaPNN3anaBGpNdjo_unK04zWwZJ859ZDvIO4/edit#gid=0&range=A12","12","calendar_only","","local:messy-contacts.csv","5 trucks · Raw label: Fleet OVI 169 Tracy · Test: FLEET · Price: $169 · Area: Tracy"
